Days_since_last_visit,No_of_bills,%_Bills
<30,38145,97.945823669
<60,38290,98.318138123
<90,38379,98.546669006
<120,38475,98.793167114
<150,38547,98.978042603
<180,38602,99.119270325
<210,38627,99.18346405
<240,38642,99.221977234
<270,38656,99.257926941
<300,38674,99.304145813
<330,38694,99.355499268
<360,38718,99.417129517
